Area,ISO 3 code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change,Year,Month,Quarter,YearMonth,Adalah_Agregat,Adalah_Provisional
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity demand,Demand,Demand,TWh,87.63,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Clean,%,20.26,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Fossil,%,79.74,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,36.79,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,18.24,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Renewables,%,20.26,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Wind and Solar,%,2.02,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Clean,TWh,17.76,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Fossil,TWh,69.87,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,32.24,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,15.99,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Renewables,TWh,17.76,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Wind and Solar,TWh,1.77,,,2019,1,1,2019-01,True,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Bioenergy,%,3.33,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Coal,%,42.95,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Gas,%,35.37,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Hydro,%,11.33,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Nuclear,%,0.0,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Other Fossil,%,1.42,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Other Renewables,%,3.58,,,2019,1,1,2019-01,False,False
ASEAN,,2019-01-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Solar,%,0.66,,,2019,1,1,2019-01,False,False
